OBJECTID,visited_status,recycling_time_visited,rubbish_time_visited
7435,BOTH,2021-06-19 18:35:39,2021-06-19 18:12:18
7436,RUBBISH,,2021-06-19 12:24:34
7438,RUBBISH,,2021-06-19 13:14:56
7439,RUBBISH,,2021-06-19 13:16:59
7440,RUBBISH,,2021-06-19 12:24:03
7450,RUBBISH,,2021-06-19 19:01:29
7451,RUBBISH,,2021-06-19 19:01:37
7454,RECYCLE,2021-06-19 18:19:34,
7455,RECYCLE,2021-06-19 18:19:18,
7471,RUBBISH,,2021-06-19 13:28:08
7472,RUBBISH,,2021-06-19 15:25:00
7473,RUBBISH,,2021-06-19 19:02:23
7474,RUBBISH,,2021-06-19 15:25:16
7475,RECYCLE,2021-06-19 18:42:10,
7483,RECYCLE,2021-06-19 18:20:04,
7484,RECYCLE,2021-06-19 18:40:23,
7485,RECYCLE,2021-06-19 18:41:55,
7488,RECYCLE,2021-06-19 16:50:43,
7492,RECYCLE,2021-06-19 18:41:40,
7494,RECYCLE,2021-06-19 18:41:47,
7495,RECYCLE,2021-06-19 18:41:24,
7496,RECYCLE,2021-06-19 18:19:49,
7500,RECYCLE,2021-06-19 18:41:09,
7501,RECYCLE,2021-06-19 18:24:11,
7502,RECYCLE,2021-06-19 18:20:50,
7503,RECYCLE,2021-06-19 18:40:07,
7506,RECYCLE,2021-06-19 17:51:50,
7507,RECYCLE,2021-06-19 17:56:26,
7508,RECYCLE,2021-06-19 17:30:16,
7529,RECYCLE,2021-06-19 16:56:53,
7530,RECYCLE,2021-06-19 17:11:00,
7531,RECYCLE,2021-06-19 18:39:52,
7532,RECYCLE,2021-06-19 18:38:19,
7533,RECYCLE,2021-06-19 18:18:01,
7534,RECYCLE,2021-06-19 18:17:15,
7536,RECYCLE,2021-06-19 18:31:07,
7537,RECYCLE,2021-06-19 17:38:59,
7538,RECYCLE,2021-06-19 17:31:18,
7540,RECYCLE,2021-06-19 17:30:32,
7541,RECYCLE,2021-06-19 17:31:02,
7543,RECYCLE,2021-06-19 14:51:03,
7544,RECYCLE,2021-06-19 15:16:59,
7546,RECYCLE,2021-06-19 17:31:48,
7549,RECYCLE,2021-06-19 14:37:57,
7550,RECYCLE,2021-06-19 14:22:35,
7559,RECYCLE,2021-06-19 13:28:59,
7560,RECYCLE,2021-06-19 14:50:32,
7814,RUBBISH,,2021-06-19 13:57:59
7819,RUBBISH,,2021-06-19 14:01:57
7820,RUBBISH,,2021-06-19 14:04:46
7821,RUBBISH,,2021-06-19 14:02:12
7822,RUBBISH,,2021-06-19 13:45:27
7823,RUBBISH,,2021-06-19 13:15:26
7824,RUBBISH,,2021-06-19 14:13:45
7827,RUBBISH,,2021-06-19 12:49:32
7864,RUBBISH,,2021-06-19 14:06:59
7865,RUBBISH,,2021-06-19 13:50:33
7866,RUBBISH,,2021-06-19 15:11:48
7869,RUBBISH,,2021-06-19 13:48:30
7896,RUBBISH,,2021-06-19 15:12:03
7979,RUBBISH,,2021-06-19 12:16:39
7980,RUBBISH,,2021-06-19 12:16:24
7981,RUBBISH,,2021-06-19 12:16:16
7983,RUBBISH,,2021-06-19 12:16:15
7987,RUBBISH,,2021-06-19 12:16:09
7988,RUBBISH,,2021-06-19 13:51:28
7989,RUBBISH,,2021-06-19 13:57:23
7990,RUBBISH,,2021-06-19 13:31:25
7991,RUBBISH,,2021-06-19 13:31:10
7992,RUBBISH,,2021-06-19 14:01:30
7993,RUBBISH,,2021-06-19 13:14:58
7994,RUBBISH,,2021-06-19 13:29:22
7997,RUBBISH,,2021-06-19 12:56:28
8002,RUBBISH,,2021-06-19 14:01:46
8003,RUBBISH,,2021-06-19 12:44:55
8008,RUBBISH,,2021-06-19 12:32:35
8021,RUBBISH,,2021-06-19 14:02:00
8024,RUBBISH,,2021-06-19 14:02:01
8026,RUBBISH,,2021-06-19 14:03:03
8028,RUBBISH,,2021-06-19 14:03:18
8029,RUBBISH,,2021-06-19 14:20:02
8041,RUBBISH,,2021-06-19 14:02:47
8165,RUBBISH,,2021-06-19 12:19:32
8230,RUBBISH,,2021-06-19 13:04:53
8232,RUBBISH,,2021-06-19 13:16:42
8233,RUBBISH,,2021-06-19 13:05:09
8234,RUBBISH,,2021-06-19 13:05:24
8239,RUBBISH,,2021-06-19 13:16:58
8240,RUBBISH,,2021-06-19 13:17:05
8306,RUBBISH,,2021-06-19 12:59:30
8313,RUBBISH,,2021-06-19 12:18:58
8314,RUBBISH,,2021-06-19 13:05:40
8315,RUBBISH,,2021-06-19 12:23:21
8316,RUBBISH,,2021-06-19 12:21:32
8317,RUBBISH,,2021-06-19 12:24:37
8318,RUBBISH,,2021-06-19 12:24:53
8326,RUBBISH,,2021-06-19 13:10:48
8327,RUBBISH,,2021-06-19 13:12:36
8329,RUBBISH,,2021-06-19 13:05:55
8330,RUBBISH,,2021-06-19 13:06:11
8401,RUBBISH,,2021-06-19 12:46:56
8488,RUBBISH,,2021-06-19 13:15:57
8489,RUBBISH,,2021-06-19 13:26:14
8490,RUBBISH,,2021-06-19 12:52:34
8491,RUBBISH,,2021-06-19 12:35:37
8492,RUBBISH,,2021-06-19 12:44:21
8493,RUBBISH,,2021-06-19 12:44:05
8494,RUBBISH,,2021-06-19 12:59:45
8495,RUBBISH,,2021-06-19 12:52:50
8642,RUBBISH,,2021-06-19 12:46:24
8740,RUBBISH,,2021-06-19 15:13:05
8761,RUBBISH,,2021-06-19 13:26:47
8763,RUBBISH,,2021-06-19 13:28:04
8764,RUBBISH,,2021-06-19 13:23:58
8833,RUBBISH,,2021-06-19 14:23:03
8834,RUBBISH,,2021-06-19 14:22:48
8997,RUBBISH,,2021-06-19 15:11:17
8999,RUBBISH,,2021-06-19 14:34:30
9000,RUBBISH,,2021-06-19 14:35:00
9001,RUBBISH,,2021-06-19 12:57:56
9006,RUBBISH,,2021-06-19 14:35:31
9008,RUBBISH,,2021-06-19 14:35:16
9009,RUBBISH,,2021-06-19 14:54:19
9010,RUBBISH,,2021-06-19 14:54:34
9011,RUBBISH,,2021-06-19 15:11:01
9012,RUBBISH,,2021-06-19 14:54:50
9013,RUBBISH,,2021-06-19 13:50:18
9236,RUBBISH,,2021-06-19 12:46:55
9244,RUBBISH,,2021-06-19 13:18:28
9248,RUBBISH,,2021-06-19 15:12:18
9249,RUBBISH,,2021-06-19 15:12:49
9250,RUBBISH,,2021-06-19 13:34:23
9257,RUBBISH,,2021-06-19 11:39:07
9261,RUBBISH,,2021-06-19 11:39:23
9329,RUBBISH,,2021-06-19 12:47:10
9333,RUBBISH,,2021-06-19 12:23:03
9337,RUBBISH,,2021-06-19 12:36:08
9338,RUBBISH,,2021-06-19 12:54:21
9655,RUBBISH,,2021-06-19 12:37:26
9679,RUBBISH,,2021-06-19 12:16:20
9685,RUBBISH,,2021-06-19 13:16:12
9686,RUBBISH,,2021-06-19 13:12:52
9687,RUBBISH,,2021-06-19 12:56:25
9696,RUBBISH,,2021-06-19 13:17:13
9785,RUBBISH,,2021-06-19 14:02:35
9791,RUBBISH,,2021-06-19 14:02:04
9792,RUBBISH,,2021-06-19 14:02:19
9794,RUBBISH,,2021-06-19 13:59:45
9797,RUBBISH,,2021-06-19 13:59:14
9828,RUBBISH,,2021-06-19 12:53:02
9831,RUBBISH,,2021-06-19 13:30:53
9832,RUBBISH,,2021-06-19 13:17:03
9836,RUBBISH,,2021-06-19 13:31:54
9837,RUBBISH,,2021-06-19 12:34:37
9838,RUBBISH,,2021-06-19 14:23:19
9841,RUBBISH,,2021-06-19 13:28:50
9851,RUBBISH,,2021-06-19 15:50:48
9962,RUBBISH,,2021-06-19 13:06:45
10054,RUBBISH,,2021-06-19 13:31:23
10057,RUBBISH,,2021-06-19 13:31:08
11931,RUBBISH,,2021-06-19 12:18:00
11932,RUBBISH,,2021-06-19 14:36:03
11933,RUBBISH,,2021-06-19 13:20:05
12056,RUBBISH,,2021-06-19 13:22:24
12057,RUBBISH,,2021-06-19 11:45:44
12064,RUBBISH,,2021-06-19 13:22:09
12069,RUBBISH,,2021-06-19 14:35:48
12070,RUBBISH,,2021-06-19 12:18:15
12071,RUBBISH,,2021-06-19 14:36:19
12074,RUBBISH,,2021-06-19 12:14:25
12075,RUBBISH,,2021-06-19 14:29:23
12076,RUBBISH,,2021-06-19 14:29:39
12078,RUBBISH,,2021-06-19 14:29:54
12128,RUBBISH,,2021-06-19 13:18:02
12201,RUBBISH,,2021-06-19 11:56:16
12205,RUBBISH,,2021-06-19 14:36:49
12222,RUBBISH,,2021-06-19 12:19:48
12223,RUBBISH,,2021-06-19 13:45:45
12224,RUBBISH,,2021-06-19 12:18:31
12225,RUBBISH,,2021-06-19 12:18:46
12226,RUBBISH,,2021-06-19 12:20:03
12227,RUBBISH,,2021-06-19 11:36:18
12228,RUBBISH,,2021-06-19 12:20:18
12232,RUBBISH,,2021-06-19 13:22:40
12234,RUBBISH,,2021-06-19 13:23:41
12246,RUBBISH,,2021-06-19 16:47:48
12247,RUBBISH,,2021-06-19 16:36:44
12258,RUBBISH,,2021-06-19 16:31:21
12259,RUBBISH,,2021-06-19 14:37:35
12260,RUBBISH,,2021-06-19 16:26:12
12283,RUBBISH,,2021-06-19 16:13:02
12296,RUBBISH,,2021-06-19 13:31:17
12297,RUBBISH,,2021-06-19 15:57:56
12298,RUBBISH,,2021-06-19 15:58:11
12338,RUBBISH,,2021-06-19 16:23:38
12342,RUBBISH,,2021-06-19 15:22:32
12344,RUBBISH,,2021-06-19 15:22:47
12347,RUBBISH,,2021-06-19 15:45:22
12349,RUBBISH,,2021-06-19 15:45:07
12406,RUBBISH,,2021-06-19 13:43:21
12407,RUBBISH,,2021-06-19 13:53:52
12408,RUBBISH,,2021-06-19 16:06:40
12409,RUBBISH,,2021-06-19 16:08:28
12410,RUBBISH,,2021-06-19 16:21:03
12411,RUBBISH,,2021-06-19 16:53:12
12412,RUBBISH,,2021-06-19 16:53:27
12413,RUBBISH,,2021-06-19 16:23:07
12414,RUBBISH,,2021-06-19 16:08:13
12415,RUBBISH,,2021-06-19 16:23:22
12416,RUBBISH,,2021-06-19 16:53:43
12417,RUBBISH,,2021-06-19 12:51:01
12418,RUBBISH,,2021-06-19 15:13:59
12419,RUBBISH,,2021-06-19 15:10:39
12446,RUBBISH,,2021-06-19 16:53:58
12447,RUBBISH,,2021-06-19 15:10:24
12448,RUBBISH,,2021-06-19 13:03:20
12449,RUBBISH,,2021-06-19 13:03:04
12451,RUBBISH,,2021-06-19 13:02:49
12471,RUBBISH,,2021-06-19 15:22:17
12475,RUBBISH,,2021-06-19 15:07:19
12477,RUBBISH,,2021-06-19 15:03:43
12479,RUBBISH,,2021-06-19 16:54:14
12484,RUBBISH,,2021-06-19 17:11:12
12485,RUBBISH,,2021-06-19 15:21:00
12550,RUBBISH,,2021-06-19 17:11:27
12551,RUBBISH,,2021-06-19 17:11:43
12566,RUBBISH,,2021-06-19 17:11:58
12567,RUBBISH,,2021-06-19 17:12:14
12652,RUBBISH,,2021-06-19 15:46:09
12653,RUBBISH,,2021-06-19 15:45:38
12654,RUBBISH,,2021-06-19 14:54:28
12660,RUBBISH,,2021-06-19 14:47:17
12661,RUBBISH,,2021-06-19 14:58:50
12663,RUBBISH,,2021-06-19 14:59:52
13787,RUBBISH,,2021-06-19 12:55:34
13799,RUBBISH,,2021-06-19 12:25:03
13816,RUBBISH,,2021-06-19 13:04:41
13863,RUBBISH,,2021-06-19 12:15:14
13905,RUBBISH,,2021-06-19 14:12:12
13906,RUBBISH,,2021-06-19 14:12:13
14007,RUBBISH,,2021-06-19 17:57:18
14011,RUBBISH,,2021-06-19 17:56:47
14018,RUBBISH,,2021-06-19 15:32:56
14019,RUBBISH,,2021-06-19 15:32:25
14027,RUBBISH,,2021-06-19 15:31:55
14028,RUBBISH,,2021-06-19 11:21:50
14029,RUBBISH,,2021-06-19 15:31:24
14030,RUBBISH,,2021-06-19 14:06:30
14032,RUBBISH,,2021-06-19 14:10:35
14039,RUBBISH,,2021-06-19 15:29:53
14040,RUBBISH,,2021-06-19 15:30:53
14136,RUBBISH,,2021-06-19 14:12:32
14139,RUBBISH,,2021-06-19 14:12:33
14141,RUBBISH,,2021-06-19 14:11:53
14154,RUBBISH,,2021-06-19 12:20:14
14162,RUBBISH,,2021-06-19 11:22:41
14167,RUBBISH,,2021-06-19 12:20:33
14172,RUBBISH,,2021-06-19 11:22:10
14173,RUBBISH,,2021-06-19 11:22:11
14179,RUBBISH,,2021-06-19 12:20:34
14180,RUBBISH,,2021-06-19 12:16:09
14181,RUBBISH,,2021-06-19 12:14:08
14182,RUBBISH,,2021-06-19 12:17:10
14185,RUBBISH,,2021-06-19 12:18:12
14190,RUBBISH,,2021-06-19 12:11:06
14194,RUBBISH,,2021-06-19 12:10:05
14202,RUBBISH,,2021-06-19 12:20:53
14239,RUBBISH,,2021-06-19 15:30:54
14245,RUBBISH,,2021-06-19 15:29:52
14254,RUBBISH,,2021-06-19 14:11:21
14256,RUBBISH,,2021-06-19 14:11:22
14262,RUBBISH,,2021-06-19 12:34:16
14268,RUBBISH,,2021-06-19 12:15:45
14269,RUBBISH,,2021-06-19 15:56:45
14279,RUBBISH,,2021-06-19 14:10:21
14280,RUBBISH,,2021-06-19 12:16:00
14281,RUBBISH,,2021-06-19 12:20:08
14282,RUBBISH,,2021-06-19 14:10:52
14284,RUBBISH,,2021-06-19 12:20:54
14289,RUBBISH,,2021-06-19 14:04:29
14297,RUBBISH,,2021-06-19 17:56:46
14298,RUBBISH,,2021-06-19 13:53:15
14301,RUBBISH,,2021-06-19 17:56:17
14302,RUBBISH,,2021-06-19 13:48:10
14318,RUBBISH,,2021-06-19 12:00:22
14319,RUBBISH,,2021-06-19 12:21:35
14321,RUBBISH,,2021-06-19 12:02:56
14322,RUBBISH,,2021-06-19 12:00:52
14324,RUBBISH,,2021-06-19 12:00:53
14326,RUBBISH,,2021-06-19 12:21:55
14329,RUBBISH,,2021-06-19 12:01:53
14331,RUBBISH,,2021-06-19 13:08:06
14332,RUBBISH,,2021-06-19 13:08:05
14334,RUBBISH,,2021-06-19 12:02:55
14335,RUBBISH,,2021-06-19 12:01:54
14337,RUBBISH,,2021-06-19 13:07:35
14360,RUBBISH,,2021-06-19 15:23:39
14361,RUBBISH,,2021-06-19 15:23:32
14362,RUBBISH,,2021-06-19 15:23:31
14369,RUBBISH,,2021-06-19 15:23:40
14371,RUBBISH,,2021-06-19 15:23:56
14391,RUBBISH,,2021-06-19 13:09:06
14394,RUBBISH,,2021-06-19 13:09:07
14396,RUBBISH,,2021-06-19 13:10:08
14399,RUBBISH,,2021-06-19 15:24:10
14449,RUBBISH,,2021-06-19 14:15:11
14451,RUBBISH,,2021-06-19 14:15:40
14458,RUBBISH,,2021-06-19 14:16:13
14460,RUBBISH,,2021-06-19 14:15:57
14467,RUBBISH,,2021-06-19 13:10:28
14532,RUBBISH,,2021-06-19 15:21:46
14541,RUBBISH,,2021-06-19 13:06:03
14543,RUBBISH,,2021-06-19 12:47:43
14544,RUBBISH,,2021-06-19 15:26:51
14545,RUBBISH,,2021-06-19 15:07:33
14546,RUBBISH,,2021-06-19 12:29:26
14547,RUBBISH,,2021-06-19 13:07:04
14548,RUBBISH,,2021-06-19 12:39:37
14550,RUBBISH,,2021-06-19 15:25:51
14551,RUBBISH,,2021-06-19 15:23:48
14558,RUBBISH,,2021-06-19 15:23:55
14567,RUBBISH,,2021-06-19 13:35:57
14568,RUBBISH,,2021-06-19 13:36:59
14582,RUBBISH,,2021-06-19 14:10:20
14585,RUBBISH,,2021-06-19 17:55:31
14586,RUBBISH,,2021-06-19 17:55:30
14587,RUBBISH,,2021-06-19 17:55:16
14594,RUBBISH,,2021-06-19 14:04:45
14599,RUBBISH,,2021-06-19 11:28:13
14602,RUBBISH,,2021-06-19 11:37:47
14604,RUBBISH,,2021-06-19 11:38:02
14607,RUBBISH,,2021-06-19 11:37:15
14608,RUBBISH,,2021-06-19 11:37:16
14611,RUBBISH,,2021-06-19 11:37:00
